name,id,premium,alternate_url,created_at,department.name,employer.name,area.name,professional_roles.name,employment.name,experience.name,salary,salary.from,salary.to,salary.currency,salary.gross,schedule.name,snippet.requirement,snippet.responsibility,working_time_intervals.name,type.name,description.vacancy
Бизнес/системный аналитик,90911709,False,https://hh.ru/vacancy/90911709,2023-12-21T16:01:24+0300,,Интеграционные Решения и Системы,Москва,Аналитик,Полная занятость,От 1 года до 3 лет,NaN,150000.0,250000.0,RUR,False,Удаленная работа,Высшее техническое образование. Опыт работы в качестве бизнес/системного аналитика от 3-х лет. Опыт написания задач на разработку повышенной...,"Написание и поддержка в актуальном состоянии существующей документации (внутренней и пользовательской) в части продукта. Написание эксплуатационной документации (руководство пользователя, API...",,Открытая,"Коллеги, всем доброго времени суток! Пополняем команду аналитиков. Ищем опытного, грамотного бизнес-аналитика с пониманием системной аналитики в большой и долгосрочный проект на постоянной основе. Сфера деятельности - информационная безопасность, электронные подписи, электронные торги, интеграция проекта с крупными государственными/коммерческими электронными сервисами. Обязанности:  Написание и поддержка в актуальном состоянии существующей документации (внутренней и пользовательской) в части продукта; Написание эксплуатационной документации (руководство пользователя, API/интеграция, инструкции по настройке системы) в части реализованной функциональности продукта. Предоставление разъяснений бизнесу по работе продукта, по действующим операциям и функциям; Сбор и формализация функциональных\бизнес требований. Согласование требований с заказчиком и необходимым подразделениями; Оценка, проведение анализа и возможности реализации предъявляемых требований в системе. Формализация изменений в системе; Формирование и передача в разработку ТЗ по результатам обследования и выявленным потребностям; Взаимодействие с командой разработки (разработчики, тестировщики, владелец продукта, скрам-мастер) по реализации технического задания; Участие во внутренней приемке выполненных работ (в соответствии с ТЗ).    Требования:  Высшее техническое образование; Опыт работы в качестве бизнес/системного аналитика от 3-х лет; Опыт написания задач на разработку повышенной сложности; Умение корректно и последовательно излагать свои мысли устно и письменно; Опыт сбора бизнес-требований, бизнес-правил, атрибутов качества, пользовательских требований и трансформации их функциональные и нефункциональные требования; Понимание базовых принципов ООП и архитектуры приложений; Глубокое понимание принципов ООАП и системного анализа; Понимание принципов интеграции ИС и способов обмена данными в т.ч. с применением JSON и XML; Умение разобраться в предметной области, выявить проблему, найти решение; Навыки моделирования и описания процессов и элементов ИС в популярных нотациях (BPMN обязательно, UML - желательно); Умение работать с документацией (сценарии, технические задания, аналитические записки, прототипы); Опыт работы в команде с использованием Agile методологий разработки (Scrum, Kanban и др.); Хорошие коммуникативные навыки.    Гарантируем:  ЗП: 120 000 - 250 000 руб. / на руки, интересные и разнообразные задачи, комфортную атмосферу, оперативную помощь и содействие в решении рабочих вопросов, профессиональный и карьерный рост    Условия:  100% удаленный формат работы, полная занятость, работа по ТК РФ. "
Бизнес-аналитик WMS/Администратор WMS,90998428,False,https://hh.ru/vacancy/90998428,2023-12-28T16:51:19+0300,,Гринфилдс-Логистика,Москва,Бизнес-аналитик,Полная занятость,От 1 года до 3 лет,NaN,200000.0,250000.0,RUR,False,Полный день,"Опыт работы с системами WMS обязателен (желательно TopLog WMS, Axelot). Знание основных механизмов платформы «1С:Предприятие». Желательно опыт внедрения...","Анализ, описание и согласование бизнес-процессов складской логистики. Анализ показателей работы склада, нормирование операций и контроль производительности работы складских сотрудников. ",,Открытая,"Обязанности:  Анализ, описание и согласование бизнес-процессов складской логистики Анализ показателей работы склада, нормирование операций и контроль производительности работы складских сотрудников Постановка задач, формирование ТЗ на модификацию, доработку WMS, модификацию, доработку Интеграции Тестирование доработок WMS и Интеграции Обучение сотрудников склада по новым модификациям, бизнес-процессам Проведение аттестации сотрудников Тестирование и участие в запуске ERP 1C 8.3 Настройка Системы Управления Складом (WMS), заведение топологии склада Регистрация пользователей в WMS, назначение идентификаторов и паролей, установка прав доступа пользователей системы Обеспечение бесперебойной работы программного обеспечения Поддержка пользователей, консультирование Разработка нормативных документов (рабочих инструкций, регламентов, стандартов)  Требования:  Опыт работы с системами WMS обязателен (желательно TopLog WMS, Axelot) Знание основных механизмов платформы «1С:Предприятие» Желательно опыт внедрения WMS Желательно знание СКД, опыт настройки отчетов в 1С     Условия:  Современный складской комплекс и офис находится на территории Инновационного Логистического Центра Внуково 2. Предоставляем корпоративный транспорт от станций метро Рассказовка и Саларьево, а также от населенных пунктов Кокошкино, Марушкино, Московский и Солнечная (Юго-Запад Москвы). Если вы на автомобиле, то для вас бесплатная охраняемая парковка на территории компании Предоставляем дотацию на питание в нашем кафе Официальное трудоустройство с первого дня График работы 5/2 Предоставляем скидки на продукцию компании "
Стажер по направлению бизнес-аналитика,90927045,False,https://hh.ru/vacancy/90927045,2023-12-22T09:38:45+0300,,Нафта Эксперт,Пермь,Бизнес-аналитик,Стажировка,Нет опыта,NaN,25000.0,,RUR,False,Полный день,"Высшее техническое образование либо завершающая стадия обучения (предпочтительно по направлению ""разработка нефтяных и газовых месторождений""). Аналитическое и системное мышление. ",Анализ большого объёма нормативной документации. Взаимодействие с персоналом заказчика. Проведение и оформление результатов интервью. Анализ и описание функций сотрудников заказчика. ,,Открытая,"Работа в офисе и не предполагает удаленный режим работы. Редкие командировки. Задачи:  Анализ большого объёма нормативной документации. Взаимодействие с персоналом заказчика. Проведение и оформление результатов интервью. Анализ и описание функций сотрудников заказчика. Моделирование бизнес-процессов в программном обеспечении.  Требования:  Высшее техническое образование либо завершающая стадия обучения (предпочтительно по направлению ""разработка нефтяных и газовых месторождений""). Аналитическое и системное мышление. Концентрация и высокая трудоспособность. Обучаемость и стремление к самообучению.  Предлагаем:  Помочь начать карьеру, при Вашем большом желании трудиться. Официальное трудоустройство, полностью белая зарплата. Новые знания. Наставничество. "
Разработчик/аналитик (заместитель начальника отдела в департамент информационных технологий),91082926,False,https://hh.ru/vacancy/91082926,2023-12-30T14:10:06+0300,,ЦФР,Москва,Руководитель группы разработки,Полная занятость,От 3 до 6 лет,NaN,250000.0,290000.0,RUR,True,Полный день,"Высшее образование (желательно техническое, ИТ). Опыт работы аналитиком/тестировщиком, разработчиком не менее 5-ти лет и опыт управления разработкой/тестированием...","<highlighttext>Бизнес</highlighttext>-<highlighttext>аналитика</highlighttext>: оказание экспертной поддержки аналитикам/тестировщикам в отделе, анализ требований пользователей, подготовка функциональных требований для подрядных организаций, написание и...",,Открытая,"Обязанности:  разработчика ПО: оказание экспертной поддержки разработчикам в отделе, написание/разработка отчетов в АльфаBI, процедур на PL\SQL, PL/pgSQL Python , Java; бизнес-аналитика: оказание экспертной поддержки аналитикам/тестировщикам в отделе, анализ требований пользователей, подготовка функциональных требований для подрядных организаций, написание и согласование технического задания, работа с пользователями, тестирование решений; взаимодействие с разработчиками, аналитиками/тестировщиками по работе ИС; руководство отделом в отсутствии руководителя; участие в проектах/мероприятиях в рамках поддерживаемых ИС, подготовка планов, графиков, документов по проектам/мероприятиям, отчетности.  Требования:  высшее образование (желательно техническое, ИТ); опыт работы аналитиком/тестировщиком, разработчиком не менее 5-ти лет и опыт управления разработкой/тестированием не менее 1 года (team lead или подобное); хорошее знание: SQL ,PL\SQL, PL/pgSQL и основ: Python, Java; знание методик проведения анализа требований пользователей, подготовки функциональных требований для подрядных организаций, написание и согласование технического задания, работы с пользователями; знание методик тестирования решений и ведения технической документации  Желательно (будет преимуществом):  опыт работы с аналитическими системами: ORACLE bi, Альфа-Bi или аналогичными; знакомство с администрированием: СУБД Postgres, Tomcat,Airflow, ngnix  Условия:  стабильная компания и официальное трудоустройство в соответствии с ТК РФ;  достойная заработная плата по результатам собеседования + премии (квартальные, годовые);   ежегодная индексация оклада;   возможность профессионального и карьерного роста + курсы повышения квалификации за счет компании;   добровольное медицинское страхование (лучшие клиники Москвы и МО, включая ""Медси"" и стоматологию);   профессиональный коллектив и доброжелательная атмосфера;   гибридный формат работы (с периодическим посещением офиса): 5/2, с 8.30 до 17:30, пятница сокращенный рабочий день  "
Chief Executive Officer/CEO IT,90953405,False,https://hh.ru/vacancy/90953405,2023-12-29T02:19:23+0300,,Кулиев Тимур Эльдарович,Москва,"Генеральный директор, исполнительный директор (CEO)",Полная занятость,От 3 до 6 лет,NaN,300000.0,,RUR,False,Удаленная работа,"Тимур- профессиональный финансист, 10+ лет в финансах, <highlighttext>бизнесе</highlighttext>, <highlighttext>аналитике</highlighttext> и инвестициях. Он прокачивал финансы крупных международных компаний, 10+...","Разработка и реализация стратегии развития компании в IT-сфере. - Управление всеми аспектами бизнеса, включая продвижение продукта и монетизацию. - ",,Открытая,"Привет! Меня зовут Екатерина, я HRDR команды Тимура Кулиева . Мы ведем бизнес по продажам и обучению на Вайлдберриз. Наша команда гордится тем, что мы действительно помогаем людям самосовершенствоваться и достигать поставленных целей. Наши принципы и правила: (если хоть один вам не подходит, дальше читать не стоит):   Довольные сотрудники   Довольные клиенты   Мы за открытые и долгосрочные отношения с партнерами и клиентами. От нашего взаимодействия должны выигрывать все в долгосрочной перспективе.   Мы стремимся всегда говорить правду, какая бы она не была. В долгосрочной перспективе такая позиция окупается с торицей.   Мы думаем не 24 часа в сутки, а головой;   Мы требовательны к друг другу, но в 100% случаев вежливы, чтобы не случилось.   Тимур- профессиональный финансист, 10+ лет в финансах, бизнесе, аналитике и инвестициях. Он прокачивал финансы крупных международных компаний, 10+ лет опыта. А также, как финансист и эксперт по фин моделям вел экономику запусков проектов. В данный момент нам нужен грамотный CEO IT (Chief Executive Officer) Обязанности:- Разработка и реализация стратегии развития компании в IT-сфере- Управление всеми аспектами бизнеса, включая продвижение продукта и монетизацию- Определение и осуществление входа на международные рынки- Руководство командой IT-специалистов и разработчиков- Принятие стратегических решений, направленных на достижение целей компанииТребования: -Опыт в маркетинге и наборе аудитории будет преимуществом; -Опыт в генерации выручки; -Опыт работы с алгоритмической торговлей;- Опыт работы на позиции CEO или топ-менеджера в IT-компании не менее 5 лет- Глубокие знания в области IT и понимание трендов и инноваций в отрасли- Опыт успешного продвижения продукта на рынке и монетизации проектов- Опыт работы с международными клиентами и входа на международные рынки- Умение принимать стратегические решения и управлять бизнесом компании- Отличные коммуникативные и лидерские навыки- Высшее образование в области IT или экономики- Сильные маркетинговые скиллы- Английский C-level ОСНОВНЫЕ ЦЕННОСТИ КОМАНДЫ:   Масштабное мышление   Результативность в команде   Профессиональная самостоятельность   Открытость и эмоциональная зрелость :)   Условия:- Конкурентная заработная плата, соответствующая опыту и квалификации- Возможности профессионального роста и развития- Работа в динамичной и инновационной компании- Гибкий график работы- Формат удаленной работы- Командировки в Дубаи"
Бизнес-аналитик в Банк,67498251,False,https://hh.ru/vacancy/67498251,2023-12-10T18:57:14+0300,,Сателл ИТ,Москва,Аналитик,Полная занятость,От 1 года до 3 лет,NaN,200000.0,,RUR,False,Удаленная работа,"Опыт работы <highlighttext>бизнес</highlighttext>-<highlighttext>аналитиком</highlighttext> в банковской сфере. Понимание жизненного цикла ПО, принципов SOA. Знание основ баз данных, sql. ","Анализ бизнес-процессов. Сбор, анализ, детализация бизнес-требований. Подготовка и оценка процессно-технологического решения. Разработка и написание требований. ",,Открытая,"Обязанности:  Анализ бизнес-процессов; Сбор, анализ, детализация бизнес-требований; Подготовка и оценка процессно-технологического решения; Разработка и написание требований; Участие в пользовательском тестировании;  Требования:  Опыт работы бизнес-аналитиком в банковской сфере; Понимание жизненного цикла ПО, принципов SOA; Знание основ баз данных, sql; Английский язык (чтение документации со словарем, умение вести деловую переписку).  Плюсом является: - Знание нотаций описания бизнес процессов; - Знание кейс-средств (MS Project, Visio); - Знание основ управления проектами; Готовы предложить:  Интересная работа в крупном банке; Комфортабельный офис (2 минуты от метро) офис/гибрид/удаленка; Официальное трудоустройство с первого рабочего дня (оплата больничных листов, отпусков); Белая заработная плата (точная сумма оклада обсуждается индивидуально, в зависимости от должности); График работы: 5/2; Соц. пакет: полис ДМС, компенсация питания (2000 р gross), 34 дня отпуска; Регулярные корпоративные мероприятия; Развивающие мастер-классы и тренинги в сфере ИТ; Перспектива карьерного роста; Работа в молодом, дружном коллективе. "
Системный аналитик,79433058,False,https://hh.ru/vacancy/79433058,2023-12-13T16:08:15+0300,,МАРИО РИОЛИ,Новомосковск (Тульская область),Аналитик,Полная занятость,От 1 года до 3 лет,NaN,80000.0,220000.0,RUR,False,Удаленная работа,"Опыт работы аналитиком (преимущество - работа в Navision, но рассматриваем и другие варианты, например: аналитик 1С, <highlighttext>бизнес</highlighttext>-<highlighttext>аналитик</highlighttext>, работам с...",поддерживать пользователей по вопросам работы в системе учета MS Dynamics Nav (Navision) 2009. – изучать имеющуюся на предприятии систему учета. – ,,Открытая,"В IT-департамент компании ""Марио Риоли"" приглашаем Аналитиков-консультантов Navision. В обязанности Аналитика входит: – поддерживать пользователей по вопросам работы в системе учета MS Dynamics Nav (Navision) 2009.– изучать имеющуюся на предприятии систему учета;– на тестовом контуре отрабатывать новые сценарии бизнес-процессов;– быть постановщиком задач для программистов в доработке Nav;– тестировать новый функционал от программистов;– писать понятные инструкции для пользователей;– вести актуальность базы знаний по системе учета;– проводить ликбезы и обучение новых сотрудников по работе с системой Navision;– участвовать в сборе требований для внедрения новой системы MS Dynamics BC (внедрение уже начинается). Пожелания к кандидату:  Опыт работы аналитиком (преимущество - работа в Navision, но рассматриваем и другие варианты, например: аналитик 1С, бизнес-аналитик, работам с data-сущностями и т.п.); Понимание бизнес-процессов производственного предприятия; Представления об устройстве системы учета (система счетов учета, двойная запись, справочники, документы, регистры накопления, и т.п.);  Развитые коммуникативные навыки – грамотная устная и письменная речь.   Мы предлагаем:   официальное оформление, согласно ТК РФ;   уровень заработной платы обсуждается с успешными кандидатами индивидуально;   обучение в период адаптации. На этот период приглашаем сотрудника на территорию предприятия (оплачиваем проживание).   график работы 5/2 (08.00-17.00 или 09.00 - 18.00);   РАССМАТРИВАЕТСЯ ВОЗМОЖНОСТЬ ВАРИАНТОВ РАБОТЫ:     Переезд в г. Донской (Тульская область) и работа на территории предприятия. В этом случае компания арендует жилье в г. Новомосковск, обсуждается релокационный пакет.    Гибридный график работы: чередование работы на территории завода с работой удаленно. В этом случае компания на период пребывания сотрудника в Тульской области арендует жилье в г. Новомосковске/г. Донском, оплачивает питание в столовой предприятия (обеды).   Удаленная работа с командировками на завод в г. Донской (Тульская область). Периодичность командировок (примерно) 1 раз ( 3-4 дня) в 1,5 месяца. На период командировки компания оплачивает гостиницу с завтраком, питание в производственной столовой (обед).  "
Бизнес-аналитик,91037014,False,https://hh.ru/vacancy/91037014,2023-12-29T12:53:47+0300,,CARCRAFT,Москва,Системный аналитик,Полная занятость,От 3 до 6 лет,NaN,250000.0,300000.0,RUR,True,Полный день,1. Умение писать ТЗ с нуля для Front-end и Back-end разработчиков. 2. Умение описывать тест-кейсы для группы...,5. Помощь в функциональном тестирование/проверка разработок согласно подготовленному ТЗ и тест-кейсам. 6. Своевременный контроль сроков разработки продуктов.,,Открытая,"Мы ожидаем от кандидата:1. Умение писать ТЗ с нуля для Front-end и Back-end разработчиков.2. Умение описывать тест-кейсы для группы разработки.3. Умение написания инструкций и технической документации по разработанным продукта.4. Понимание методов работы с внешним API5. Помощь в функциональном тестирование/проверка разработок согласно подготовленному ТЗ и тест-кейсам.6. Своевременный контроль сроков разработки продуктов7. Умение анализировать и предлагать максимально эффективное решение в рамках потребностей бизнеса.8. Понимание одной или нескольких предметных областей: финансовый учет, бухгалтерский учёт, РСБУ, МСФО.ЧТО БУДЕТ ВАШИМ ПРЕИМУЩЕСТВОМ:1. Иметь опыт работы с банковскими продуктами среднего или крупного масштаба.2. Понимать банковскую методологию в разрезе продуктов (СБП - оплата QR. P2P- переводы. ОСТ- выплаты и т.д.)Мы предлагаем:- Стабильный доход на уровне рынка;- Сильная команда экспертов;- Комфортный офис, возможность гибридного формата работы;- Развитая корпоративная культура;- ДМС после испытательного срока."
Бизнес-аналитик,91104821,False,https://hh.ru/vacancy/91104821,2023-12-28T10:16:40+0300,,Axmor,Новосибирск,Бизнес-аналитик,Полная занятость,От 1 года до 3 лет,NaN,150000.0,,RUR,False,Удаленная работа,Опыт работы аналитиком в IT компании от 3-х лет. Знание методологий управления требованиями и владение нотациями для моделирования бизнес...,"Подготовка и проведение встреч со стейкхолдерами (написание agenda, follow-up). Интервьюирование пользователей и формулирование гипотез об их потребностях (онлайн-встречи...",,Открытая,"Привет, меня зовут Катя, и я руководитель команды аналитиков в Axmor. Мы ищем Бизнес-аналитика на стабильный, социально значимый проект. Мы участвуем во всех этапах развития проекта: декомпозируем задачи для подготовки оценки для новых лидов, готовим вижен и техническое задание, ставим задачи в разработку и проверяем их реализацию на соответствие требованием, пишем пользовательскую документацию и функциональное описание системы. Мы также проводим анализ конкурентов и ищем референсы, чтобы развивать продукт дальше, создаём дополнительную ценность для наших клиентов. Расскажу немного о компании, где тебе предстоить работать. Axmor — команда единомышленников, которая существует с 2003 года, у нас три офиса: два в Академе и один в центре Новосибирска. Но работать в офисе вовсе не обязательно: наши коллеги живут в разных городах и даже странах. У нас есть свои корпоративные ценности, которые помогают создавать комфортную обстановку внутри команды, избегать бюрократии и конфликтов. Мы за развитие: помогаем прокачивать скиллы наших аналитиков; за востребованный результат, поэтому не беремся за сомнительные проекты и госсектор, а работаем только с частным бизнесом; за свободу, ответственность и открытость: не стесняемся говорить заказчику, как сделать его проект лучше и даём обратную связь коллегам. В компании мы общаемся на ты — друг с другом и с технологиями. Чем предстоит заниматься:  подготовка и проведение встреч со стейкхолдерами (написание agenda, follow-up); интервьюирование пользователей и формулирование гипотез об их потребностях (онлайн-встречи и командировки для наблюдения за работой пользователей на местах); подготовка требований к системе (описание vision, user story, функциональных и нефункциональных требований, требований к интерфейсам); подготовка прототипов интерфейса (создание block-flow, wireframe, mockups высокой точности); сопровождение разработки (грумминг требований, согласование с клиентом, внесение change requests, подготовка release notes, тестирование функционала на соответствие поставленным потребностям бизнеса и пользователя).  Мы ожидаем от тебя:   опыт работы аналитиком в IT компании от 3-х лет;   знание методологий управления требованиями и владение нотациями для моделирования бизнес-процессов;   понимание технической документации (например, описания API);   навыков презентации и переговоров с клиентом;   умения работать в команде, гибкости.   От нас:   интересные и сложные проекты, в которых ты можешь реализовать свой потенциал, и увидеть реально востребованный результат;   если тебе интересно осваивать новые технологии и погружаться в уникальную бизнес-логику, у нас есть возможность переключаться с проекта на проект;   работа в команде с опытными коллегами;   прозрачная система профессионального и карьерного роста, регулярный пересмотр заработной платы;   компенсация обучения и успешного прохождения сертификации;   открытая и комфортная атмосфера в компании;   гибкий график работы и возможность работать из дома;   частичная компенсация абонемента в спортзал и обучения английскому языку.  "
Бизнес-аналитик,88874215,False,https://hh.ru/vacancy/88874215,2023-12-18T12:23:53+0300,,БЕТСИТИ,Москва,Бизнес-аналитик,Полная занятость,От 1 года до 3 лет,NaN,,260000.0,RUR,False,Полный день,"Опыт работы в роли <highlighttext>бизнес</highlighttext>-<highlighttext>аналитика</highlighttext> в ИТ от 1 года. Опыт применения техник бизнес-анализ (интервью, прототип, диаграммы и...","Взаимодействие с заинтересованными лицами: заказчиками, подрядчиками, менеджерами, разработчиками, тестировщиками, дизайнерами и др. Сбор, анализ, документирование и согласование требований к программному...",,Открытая,"БЕТСИТИ – высокотехнологичная букмекерская компания федерального уровня. С 2003 года разрабатываем IT-продукт и развиваем сферу спортивных развлечений. За 20 лет мы вошли в топ-5 компаний отрасли, открыли 100 клубов по всей России и собрали команду из более 1000 профессионалов. БЕТСИТИ – надежный работодатель. Мы инвестируем в здоровье и обучение наших сотрудников. Предлагаем работу в динамично развивающейся отрасли, интересную команду, насыщенную корпоративную жизнь, гибкий график и возможность удаленной работы. Мы поддерживаем российский спорт – к примеру, за последний год мы выплатили спортивным федерациям более 554 000 000 рублей. Каждый год выигрываем престижные международные премии. В 2023-м за «Лучший digital-проект в Медиа», в 2022-м за «Лучший приветственный бонус» и «Лучшие коэффициенты», а в 2021-м за «Лучшее спортивное партнерство», «Лучшую линию» и «Лучшие коэффициенты».Обязанности:  Взаимодействие с заинтересованными лицами: заказчиками, подрядчиками, менеджерами, разработчиками, тестировщиками, дизайнерами и др; Сбор, анализ, документирование и согласование требований к программному продукту; Преимущественно, постановка задач разработчикам по реализации маркетинговых активностей (акции, лендинги, SEO); Описание пользовательских сценариев и разработка прототипов UI; Приемка верстки от подрядчиков; Разработка и поддержка в актуальном состоянии проектной документации;  Требования:  Опыт работы в роли бизнес-аналитика в ИТ от 1 года; Опыт применения техник бизнес-анализ (интервью, прототип, диаграммы и др.); Представление о нотациях, использующихся для описания бизнес-процессов; Знание основ проектирования пользовательского интерфейса и инструментов прототипирования; Понимание современных процессов и жизненного цикла разработки ПО; Умение говорить на одном языке с разработчиками и бизнес-командой; Ответственность, самостоятельность, скрупулезность;  Условия:  Оформление в соответствии ТК РФ, ежегодный отпуск в количестве 28 дней, оплата больничных; Полис ДМС со стоматологией после испытательного срока; Стабильная выплата заработной платы два раза в месяц в полном объеме, возможны квартальные премии; Возможность обучения и профессионального развития; Пятидневная рабочая неделя; Комфортный современный офис в БЦ Алкон на Соколе; Высокий уровень социальной политики компании: корпоративные мероприятия для сотрудников, поздравление детей сотрудников с Новым годом и с успешным окончанием учебного года, возможность участия в благотворительной деятельности; Работа в крупной компании федерального уровня, занимающей лидирующие позиции в своем сегменте. Заработная плата по итогам собеседования с успешным кандидатом "
Системный аналитик,90744377,False,https://hh.ru/vacancy/90744377,2023-12-29T16:14:22+0300,,Группа компаний Эйдос,Казань,Системный аналитик,Полная занятость,От 1 года до 3 лет,NaN,120000.0,,RUR,False,Полный день,Опыт работы системным или <highlighttext>бизнес</highlighttext>-<highlighttext>аналитиком</highlighttext> от года. Системное и логическое мышление. Грамотная устная и письменная речь.,"Сбор и формализация требований. Написание User story. Разработка wireframes, mockups пользовательского интерфейса. Проработка совместно с дизайнером UI приложений. ",,Открытая,"Компания Эйдос Робототехника одной из первых в России стала серийно производить шестиосевые роботы-манипуляторы собственной разработки. Наши заказчики не боятся доверить нам сложные проекты, потому что у нас работают профессионалы и мастера своего дела. Робот-манипулятор А12 используется на производствах, когда нужно повысить производительность, заменить людей на сложных или опасных участках, стабилизировать качество продукции и снизить риски травматизма.Роботы и программное обеспечение к ним — разработка Eidos Robotics. Мы аккредитованы Министерством цифрового развития, связи и массовых коммуникаций РФ (Минцифры России) и на нас распространяются все меры поддержки IT- отрасли. В связи с расширением проектного офиса мы в поиске системного аналитика. Чем предстоит заниматься:  Сбор и формализация требований; Написание User story; Разработка wireframes, mockups пользовательского интерфейса; Проработка совместно с дизайнером UI приложений; Консультирование разработчиков, тестировщиков, технических писателей по работе системы; Написание совместно с архитектором робототехнических комплексов технических заданий на разработку оборудования, роботизированных ячеек, промышленных линий; Подготовка технической документации, аналитических справок и пр;  Требования:  Опыт работы системным или бизнес-аналитиком от года; Системное и логическое мышление; Грамотная устная и письменная речь;  Будет плюсом: * Опыт работы в Figma. С нами Вы:  Работаете в сплоченной команде, которая готова делиться своими навыками; Получаете белую заработную плату, сумма полностью отражена в контракте и выплачивается два раза в месяц без задержек; Работаете в историческом центре, в двух минутах ходьбы от станции метро «Площадь Тукая» и основных автобусных маршрутов; Будете трудоустроены с 1-го рабочего дня официально по трудовой книжке; Работаете по индивидуальному графику (гибкое начало рабочего дня), выходные в вашем распоряжении; Получите помощь при переезде по программе релокации иногородних кандидатов. "
